scenario,event_id,market_id,decision_at,settlement_at,side,observed_price,simulated_entry_price,shares,fees,cost,payout,pnl,cluster,availability_verified
conservative,823480,3462309,1788886800,1789073781,NO,0.925,0.955,10.42,0.0447799500,9.9958799500,0.00,-9.9958799500,2026-09-08,False
conservative,820160,3441290,1788893100,1789080210,YES,0.735,0.765,12.77,0.2295726750,9.9986226750,12.77,2.7713773250,2026-09-08,False
conservative,820204,3441590,1788893100,1789080241,NO,0.968,0.998,10.01,0.0019979960,9.9919779960,10.01,0.0180220040,2026-09-08,False
conservative,797398,3344412,1789002000,1789189134,NO,0.91,0.94,10.57,0.05961480,9.99541480,10.57,0.57458520,2026-09-10,False
conservative,905026,3849987,1789009200,1789196814,NO,0.935,0.965,10.32,0.0348558000,9.9936558000,10.32,0.3263442000,2026-09-10,False
conservative,645458,2723714,1789124400,1789311568,NO,0.9325,0.9625,10.35,0.037357031250,9.999232031250,10.35,0.350767968750,2026-09-11,False
conservative,641931,2712402,1789126500,1789313574,NO,0.72,0.75,13.00,0.24375000,9.99375000,13.00,3.00625000,2026-09-11,False
conservative,641933,2712408,1789126500,1789313605,NO,0.952,0.982,10.16,0.0179588160,9.9950788160,10.16,0.1649211840,2026-09-11,False
conservative,839250,3542662,1789257540,1789393374,NO,0.815,0.845,11.65,0.1525858750,9.9968358750,11.65,1.6531641250,2026-09-12,False
conservative,227989,1427557,1789344000,1789611729,NO,0.8395,0.8695,11.35,0.128788166250,9.997613166250,11.35,1.352386833750,2026-09-14,False
conservative,820157,3441283,1789411500,1789599444,NO,0.765,0.795,12.32,0.2007852000,9.9951852000,0.00,-9.9951852000,2026-09-14,False
conservative,820172,3441337,1789411500,1789599313,NO,0.9625,0.9925,10.06,0.007488412500,9.992038412500,10.06,0.067961587500,2026-09-14,False
conservative,820189,3441489,1789411500,1789599373,NO,0.94,0.97,10.27,0.02988570,9.99178570,10.27,0.27821430,2026-09-14,False
conservative,820193,3441528,1789411500,1789599373,NO,0.785,0.815,12.04,0.1815331000,9.9941331000,12.04,2.0458669000,2026-09-14,False
conservative,820196,3441538,1789411500,1789599346,NO,0.939,0.969,10.28,0.0308800920,9.9922000920,10.28,0.2877999080,2026-09-14,False
conservative,890511,3780629,1789434000,1789621486,NO,0.9535,0.9835,10.15,0.016471166250,9.998996166250,10.15,0.151003833750,2026-09-15,False
